size	K	T	instance	Obj value	CPLEX time (s)	Optimal path
4	2	30	5	45.0	0.0691329	1 2 6 10 14 15 16 
4	2	30	6	44.0	0.0391917	1 5 6 7 8 12 16 
4	2	30	7	45.0	0.0314815	1 5 6 10 14 15 16 
4	2	30	8	43.0	0.032519	1 5 6 10 14 15 16 
4	2	30	9	41.0	0.0456201	1 2 6 7 11 15 16 
4	2	60	0	89.0	0.0756577	1 5 9 10 14 15 16 
4	2	60	1	91.0	0.0919425	1 2 3 4 8 12 16 
4	2	60	2	76.0	0.1285873	1 2 6 10 11 15 16 
4	2	60	3	90.0	0.0708126	1 5 9 13 14 15 16 
4	2	60	4	73.0	0.0748236	1 5 6 10 14 15 16 
4	2	60	5	96.0	0.0780541	1 2 3 7 11 12 16 
4	2	60	6	89.0	0.0767863	1 5 6 10 11 15 16 
4	2	60	7	90.0	0.0873635	1 5 9 10 11 12 16 
4	2	60	8	88.0	0.122761	1 5 6 7 11 15 16 
4	2	60	9	91.0	0.0369914	1 5 6 10 11 12 16 
4	2	90	0	129.0	0.1889263	1 2 6 10 11 12 16 
4	2	90	1	137.0	0.1581289	1 5 9 13 14 15 16 
4	2	90	2	127.0	0.1906572	1 2 3 7 11 15 16 
4	2	90	3	146.0	0.1428127	1 2 6 7 11 15 16 
4	2	90	4	148.0	0.1506586	1 5 6 7 11 15 16 
4	2	90	5	137.0	0.1377942	1 5 6 10 11 12 16 
4	2	90	6	129.0	0.1618172	1 2 3 7 8 12 16 
4	2	90	7	134.0	0.1502369	1 5 9 10 14 15 16 
4	2	90	8	125.0	0.1468312	1 2 6 7 8 12 16 
4	2	90	9	148.0	0.1490239	1 2 6 7 11 12 16 
4	4	30	0	85.0	0.121974	1 5 6 10 14 15 16 
4	4	30	1	84.0	0.1630349	1 2 6 7 8 12 16 
4	4	30	2	108.0	0.1664265	1 2 6 7 11 12 16 
4	4	30	3	96.0	0.1229483	1 5 9 13 14 15 16 
4	4	30	4	94.0	0.1345674	1 2 6 7 11 12 16 
4	4	30	5	101.0	0.1863244	1 2 6 7 8 12 16 
4	4	30	6	97.0	0.190764	1 2 6 7 11 15 16 
4	4	30	7	98.0	0.1753917	1 2 6 7 8 12 16 
4	4	30	8	104.0	0.2571609	1 5 6 7 8 12 16 
4	4	30	9	94.0	0.1714672	1 2 6 10 11 12 16 
4	4	60	0	175.0	0.2305514	1 5 6 7 8 12 16 
4	4	60	1	193.0	0.2437537	1 5 6 10 14 15 16 
4	4	60	2	171.0	0.2380017	1 5 6 7 11 12 16 
4	4	60	3	169.0	0.2226253	1 5 6 10 14 15 16 
4	4	60	4	181.0	0.2120219	1 5 6 7 8 12 16 
4	4	60	5	159.0	0.2037275	1 2 3 7 11 12 16 
4	4	60	6	196.0	0.2165797	1 5 9 13 14 15 16 
4	4	60	7	164.0	0.279676	1 5 9 13 14 15 16 
4	4	60	8	186.0	0.2611767	1 5 6 10 14 15 16 
4	4	60	9	194.0	0.2791285	1 2 6 10 11 12 16 
4	4	90	0	249.0	0.4146717	1 2 6 7 11 15 16 
4	4	90	1	271.0	0.6095932	1 5 6 7 11 12 16 
4	4	90	2	286.0	0.453552	1 5 6 10 11 12 16 
4	4	90	3	276.0	0.5938685	1 2 3 7 8 12 16 
4	4	90	4	238.0	0.437854	1 2 6 7 11 12 16 
4	4	90	5	296.0	0.4633355	1 5 9 10 11 15 16 
4	4	90	6	286.0	0.4788623	1 2 3 7 8 12 16 
4	4	90	7	297.0	0.5599977	1 5 6 10 11 15 16 
4	4	90	8	235.0	0.5242565	1 2 6 10 14 15 16 
4	4	90	9	291.0	0.3639028	1 2 6 10 11 15 16 
4	6	30	0	143.0	0.2370727	1 5 9 10 11 12 16 
4	6	30	1	150.0	0.316151	1 2 6 7 11 15 16 
4	6	30	2	146.0	0.1957303	1 5 6 10 11 12 16 
4	6	30	3	149.0	0.2446502	1 5 6 7 8 12 16 
4	6	30	4	143.0	0.1898331	1 5 6 7 8 12 16 
4	6	30	5	151.0	0.2449048	1 2 3 7 11 15 16 
4	6	30	6	140.0	0.1865862	1 2 3 7 11 15 16 
4	6	30	7	136.0	0.1880564	1 5 9 13 14 15 16 
4	6	30	8	143.0	0.2209073	1 2 6 10 11 15 16 
4	6	30	9	149.0	0.1875413	1 5 6 7 11 15 16 
4	6	60	0	307.0	0.5481107	1 5 6 10 11 15 16 
4	6	60	1	281.0	0.5990559	1 2 3 7 8 12 16 
4	6	60	2	278.0	0.5945407	1 5 6 7 11 12 16 
4	6	60	3	290.0	0.6538818	1 5 6 10 14 15 16 
4	6	60	4	265.0	0.4460928	1 2 6 7 8 12 16 
4	6	60	5	306.0	0.6320643	1 2 6 7 8 12 16 
4	6	60	6	271.0	0.5112753	1 2 6 7 8 12 16 
4	6	60	7	288.0	0.6811392	1 5 6 7 11 12 16 
4	6	60	8	287.0	0.4145865	1 5 9 10 14 15 16 
4	6	60	9	301.0	0.6173214	1 2 3 4 8 12 16 
4	6	90	0	431.0	0.9538047	1 2 3 4 8 12 16 
4	6	90	1	427.0	0.7938193	1 2 6 10 11 12 16 
4	6	90	2	412.0	1.079133	1 5 6 7 11 15 16 
